Site, Site name, Start, End, Lat, Lon
001000, KARUNJIE, 1940, 1983, -16.2919, 127.1956
001001, OOMBULGURRI, 1914, 2012, -15.1806, 127.8456
001002, BEVERLEY SP, 1959, 1967, -16.5825, 125.4828
001003, PAGO MISSION, 1908, 1940, -14.1331, 126.7158
001004, KUNMUNYA, 1915, 1948, -15.4167, 124.7167
001005, WYNDHAM PORT, 1886, 1995, -15.4644, 128.1000
001006, WYNDHAM AERO, 1951, .., -15.5100, 128.1503
001007, TROUGHTON ISLAND, 1956, .., -13.7542, 126.1485
001008, MOUNT ELIZABETH OLD SITE, 1959, 1978, -16.3017, 126.1825
001009, KURI BAY, 1961, 2012, -15.4875, 124.5222
001010, THEDA, 1965, .., -14.7885, 126.4963
001011, PANTA DOWNS, 1966, 1969, -16.0497, 124.9500
001012, MITCHELL PLATEAU, 1968, 2002, -14.7925, 125.8258
001013, WYNDHAM, 1968, .., -15.4869, 128.1236
001014, EMMA GORGE, 1998, .., -15.9083, 128.1286
001015, KING RIVER PUMPING STN, 1923, 1931, -15.6000, 128.0833
001016, CARSON RIVER STATION, 1970, 1997, -14.4861, 126.7664
001017, NULLA NULLA, 1923, 1926, -15.5000, 127.8333
001018, MOUNT ELIZABETH, 1973, .., -16.4181, 126.1025
001019, KALUMBURU, 1997, .., -14.2964, 126.6453
001020, TRUSCOTT, 1944, .., -14.0900, 126.3867
001021, KALUMBURU MISSION, 1941, 2005, -14.2961, 126.6431
001022, WYNDHAM SIX MILE HOTEL, 1900, 1917, -15.4997, 128.1997
001023, EL QUESTRO, 1967, .., -16.0086, 127.9806
001024, ELLENBRAE, 1986, .., -15.9572, 127.0628
001025, DOONGAN, 1988, .., -15.3797, 126.3114
001026, DRYSDALE RIVER STATION, 1988, .., -15.7031, 126.3781
001027, DIGGERS REST, 1971, .., -15.6394, 128.0803
001028, HOME VALLEY, 1991, .., -15.7231, 127.8292
001029, WYNDHAM NORTH, 1989, 1996, -15.4467, 128.1075
001030, KIMBERLEY COASTAL CAMP, 1995, .., -14.5786, 125.9133
001031, FARAWAY BAY, 1996, .., -13.9600, 127.1964
001032, MCGOWAN ISLAND, 1997, 2000, -14.1472, 126.6483
001033, DRYSDALE RIVER AIRSTRIP, 1999, 2003, -15.7119, 126.3817
001034, WEST BASTION, 2001, .., -15.4533, 128.1239
001035, PARRY CREEK FARM, 2002, .., -15.5972, 128.2783
001036, DOONGAN ASA, 2012, .., -15.3792, 126.3108
002000, ALICE DOWNS, 1904, 2004, -17.7569, 127.9386
002001, ARGYLE DOWNS, 1890, .., -16.5039, 128.9173
002002, BOHEMIA DOWNS, 1906, 1959, -18.8833, 126.2333
002003, BOW RIVER, 1945, 1995, -16.8700, 128.1836
002004, GLEN HILL, 1962, 1964, -16.5833, 128.3667
002005, CARLTON HILL, 1897, .., -15.4864, 128.5344
002006, ASCOT, 1910, 1921, -15.5000, 128.2500
002007, DUNHAM RIVER STATION, 1920, 1973, -16.3167, 128.2500
002008, FLORA VALLEY OLD, 1898, 1975, -18.3167, 128.0000
002009, GIBB RIVER, 1922, .., -16.4202, 126.4412
002010, GORDON DOWNS, 1919, 1997, -18.7506, 128.5842
002011, OLD HALLS CREEK, 1890, 1999, -18.2519, 127.7817
002012, HALLS CREEK METEOROLOGICAL OFFICE, 1944, .., -18.2291, 127.6636
002013, IVANHOE STATION, 1907, .., -15.6900, 128.6833
002014, KIMBERLEY RES.STATION, 1944, .., -15.6545, 128.7091
002015, LAMBOO, 1920, 2007, -18.4086, 127.3547
002016, LISSADELL, 1895, .., -16.6742, 128.5533
002017, LOUISA DOWNS, 1915, 1995, -18.7106, 126.7111
002018, MABEL DOWNS, 1922, 2004, -17.1792, 128.1217
002019, MARGARET RIVER STATION, 1913, .., -18.6253, 126.8617
002020, MOOLA BULLA, 1903, .., -18.1894, 127.5011
002021, MOUNT AMHURST, 1925, .., -18.3869, 126.9892
002022, MOUNT WINIFRED, 2000, .., -18.0160, 126.3033
002023, NICHOLSON, 1921, .., -18.0310, 128.8941
002024, ORD RIVER, 1894, 1967, -17.4000, 128.8500
002025, ROCKHOLE DOWNS, 1922, 1949, -18.3667, 127.5667
002026, RUBY PLAINS, 1900, .., -18.5959, 127.6420
002027, SPEEWA STATION, 1908, 1944, -16.3500, 128.0333
002028, SPRING CREEK, 1927, .., -16.8180, 128.8656
002029, STURT CREEK, 1899, .., -19.1625, 128.1633
002030, YULMBU, 1950, .., -17.2986, 126.9158
002031, TEXAS DOWNS, 1922, 1995, -17.0103, 128.4669
002032, WARMUN, 1897, .., -17.0154, 128.2174
002033, TURNER RIVER, 1920, 1965, -17.8000, 128.3000
002034, ELVIRE, 1962, 1969, -18.4500, 127.9500
002035, GREENVALE, 1914, 1944, -17.1500, 127.7500
002036, OLD MORNINGTON HOMESTEAD, 2002, .., -17.3922, 126.2306
002037, VIOLET VALLEY, 1912, 1941, -17.3000, 128.0000
002038, KUNUNURRA, 1962, 1991, -15.7828, 128.7353
002039, DIMOND GORGE, 1963, 1989, -17.6667, 126.0333
002040, SAUNDERS CREEK, 1964, 1974, -18.0333, 127.9833
002041, ORD RIVER REGENERATION STATION, 1962, 1997, -17.3850, 128.9231
002042, GLENROY, 1932, 1993, -17.3594, 126.1086
002043, MOUNT KRAUSS, 1999, .., -18.3368, 126.1243
002044, LAKE ARGYLE RESORT, 1969, .., -16.1119, 128.7414
002045, FOAL CREEK, 1970, 1970, -17.3167, 127.7000
002046, ADA VALE, 1920, 1925, -16.9500, 128.1000
002047, BEDFORD DOWNS, 1970, .., -17.2631, 127.4617
002048, FLORA VALLEY, 1970, .., -18.2972, 128.4419
002049, SOPHIE DOWNS, 1980, .., -18.1947, 127.8147
002050, SPRINGVALE, 1991, .., -17.7842, 127.6853
002051, BILLILUNA, 1970, .., -19.5557, 127.6661
002052, TROPICAL FARM - ORD RIVER, 1980, 2005, -15.8367, 128.7397
002053, LANSDOWNE, 1947, .., -17.6133, 126.7442
002054, SPRINGVALE WEST, 1971, 1972, -17.8333, 127.2333
002055, LEWIS CREEK, 1936, 1940, -19.1000, 128.5333
002056, KUNUNURRA AERO, 1971, .., -15.7814, 128.7100
002057, BUNGLE BUNGLE NATIONAL PARK, 1990, 2005, -17.4206, 128.2992
002058, EUROTO, 1935, 1940, -18.3500, 128.4833
002059, RUBY CREEK GOLDMINE, 1898, 1900, -18.4333, 127.7500
002060, KINGSTON REST, 1969, .., -16.0397, 128.4150
002061, CARRANYA, 1963, .., -19.3322, 127.6367
002062, FOX RIVER, 1975, 2023, -18.4233, 128.0308
002063, LARRANGANNI, 1976, 1978, -19.8761, 128.4581
002064, ARGYLE AERODROME, 1986, .., -16.6380, 128.4516
002065, MORNINGTON, 1991, 2004, -17.3936, 126.2281
002066, CARRANYA 2, 1991, 1995, -19.1764, 127.6497
002067, KUNUNURRA CHECKPOINT, 1993, .., -15.9816, 128.9991
002068, MARION DOWNS, 1993, .., -17.0716, 126.8494
002069, KACHANA, 1993, .., -16.4433, 127.7836
