title, Lat, Lon
 KARU, -16.2919, 127.1956
 OOMB, -15.1806, 127.8456
 BEVE, -16.5825, 125.4828
 PAGO, -14.1331, 126.7158
 KUNM, -15.4167, 124.7167
 WYND, -15.4644, 128.1000
 WYND, -15.5100, 128.1503
 TROU, -13.7542, 126.1485
 MOUN, -16.3017, 126.1825
 KURI, -15.4875, 124.5222
 THED, -14.7885, 126.4963
 PANT, -16.0497, 124.9500
 MITC, -14.7925, 125.8258
 WYND, -15.4869, 128.1236
 EMMA, -15.9083, 128.1286
 KING, -15.6000, 128.0833
 CARS, -14.4861, 126.7664
 NULL, -15.5000, 127.8333
 MOUN, -16.4181, 126.1025
 KALU, -14.2964, 126.6453
 TRUS, -14.0900, 126.3867
 KALU, -14.2961, 126.6431
 WYND, -15.4997, 128.1997
 EL Q, -16.0086, 127.9806
 ELLE, -15.9572, 127.0628
 DOON, -15.3797, 126.3114
 DRYS, -15.7031, 126.3781
 DIGG, -15.6394, 128.0803
 HOME, -15.7231, 127.8292
 WYND, -15.4467, 128.1075
 KIMB, -14.5786, 125.9133
 FARA, -13.9600, 127.1964
 MCGO, -14.1472, 126.6483
 DRYS, -15.7119, 126.3817
 WEST, -15.4533, 128.1239
 PARR, -15.5972, 128.2783
 DOON, -15.3792, 126.3108
 ALIC, -17.7569, 127.9386
 ARGY, -16.5039, 128.9173
 BOHE, -18.8833, 126.2333
 BOW , -16.8700, 128.1836
 GLEN, -16.5833, 128.3667
 CARL, -15.4864, 128.5344
 ASCO, -15.5000, 128.2500
 DUNH, -16.3167, 128.2500
 FLOR, -18.3167, 128.0000
 GIBB, -16.4202, 126.4412
 GORD, -18.7506, 128.5842
 OLD , -18.2519, 127.7817
 HALL, -18.2291, 127.6636
 IVAN, -15.6900, 128.6833
 KIMB, -15.6545, 128.7091
 LAMB, -18.4086, 127.3547
 LISS, -16.6742, 128.5533
 LOUI, -18.7106, 126.7111
 MABE, -17.1792, 128.1217
 MARG, -18.6253, 126.8617
 MOOL, -18.1894, 127.5011
 MOUN, -18.3869, 126.9892
 MOUN, -18.0160, 126.3033
 NICH, -18.0310, 128.8941
 ORD , -17.4000, 128.8500
 ROCK, -18.3667, 127.5667
 RUBY, -18.5959, 127.6420
 SPEE, -16.3500, 128.0333
 SPRI, -16.8180, 128.8656
 STUR, -19.1625, 128.1633
 YULM, -17.2986, 126.9158
 TEXA, -17.0103, 128.4669
 WARM, -17.0154, 128.2174
 TURN, -17.8000, 128.3000
 ELVI, -18.4500, 127.9500
 GREE, -17.1500, 127.7500
 OLD , -17.3922, 126.2306
 VIOL, -17.3000, 128.0000
 KUNU, -15.7828, 128.7353
 DIMO, -17.6667, 126.0333
 SAUN, -18.0333, 127.9833
 ORD , -17.3850, 128.9231
 GLEN, -17.3594, 126.1086
 MOUN, -18.3368, 126.1243
 LAKE, -16.1119, 128.7414
 FOAL, -17.3167, 127.7000
 ADA , -16.9500, 128.1000
 BEDF, -17.2631, 127.4617
 FLOR, -18.2972, 128.4419
 SOPH, -18.1947, 127.8147
 SPRI, -17.7842, 127.6853
 BILL, -19.5557, 127.6661
 TROP, -15.8367, 128.7397
 LANS, -17.6133, 126.7442
 SPRI, -17.8333, 127.2333
 LEWI, -19.1000, 128.5333
 KUNU, -15.7814, 128.7100
 BUNG, -17.4206, 128.2992
 EURO, -18.3500, 128.4833
 RUBY, -18.4333, 127.7500
 KING, -16.0397, 128.4150
 CARR, -19.3322, 127.6367
 FOX , -18.4233, 128.0308
 LARR, -19.8761, 128.4581
 ARGY, -16.6380, 128.4516
 MORN, -17.3936, 126.2281
 CARR, -19.1764, 127.6497
 KUNU, -15.9816, 128.9991
 MARI, -17.0716, 126.8494
 KACH, -16.4433, 127.7836
 PHIL, -16.8828, 126.1267
 HALL, -18.2303, 127.6625
 BEDF, -17.2797, 127.4648
 MARG, -18.6217, 126.8831
 MOOL, -18.1958, 127.4948
 BULK, -19.0372, 126.0933
 MORN, -17.5115, 126.1095
 SIDD, -16.9203, 126.5511
 LARR, -18.8318, 126.5301
 HALL, -18.2337, 127.6666
 BEAG, -16.9807, 122.6662
 COUN, -17.2767, 122.5711
 BROO, -17.9500, 122.2500
 BROO, -17.9475, 122.2352
 CAPE, -16.3961, 122.9278
 FAIR, -17.5725, 125.0675
 FITZ, -18.1919, 125.5644
 DERB, -17.3044, 123.6292
 ELLE, -17.9281, 124.8108
 JUBI, -18.3547, 125.3033
 KIMB, -17.3927, 124.3574
 LEOP, -17.7535, 125.3807
 LIVE, -18.0483, 124.1728
 LULU, -18.1450, 124.0275
 GOGO, -18.2914, 125.5869
 MEDA, -17.3680, 123.9956
 MOUN, -18.0358, 123.9286
 MOUN, -17.0516, 125.7051
 MYRO, -18.1225, 124.2692
 NAPI, -17.3305, 124.8166
 NERR, -18.4922, 124.3992
 NOON, -18.4875, 124.8231
 QUAN, -18.3817, 125.2267
 ROEB, -17.9315, 122.4722
 UDIA, -17.9464, 123.7383
 COCK, -16.0992, 123.6161
 YEED, -17.6153, 123.6483
 FOSS, -18.1386, 125.7764
 ANNA, -19.2536, 121.4861
 FRAZ, -18.7983, 121.7125
 BIDY, -18.6844, 121.7803
 LOMB, -16.5167, 122.8908
 DERB, -17.3706, 123.6611
 BLIN, -17.7472, 124.5283
 ECO , -18.3381, 122.0758
 MUNJ, -16.4000, 124.9500
 BROO, -18.0000, 122.2167
 MUNK, -17.4333, 123.7500
 LIVE, -17.9500, 124.1667
 SILE, -16.9667, 125.3000
 CAMB, -17.9903, 124.1922
 KILT, -17.6924, 122.7127
 TALG, -19.2833, 121.5000
 CHRI, -18.8772, 125.9207
 BROO, -18.1103, 125.6431
 CALA, -19.1000, 121.5000
 CHER, -18.4833, 125.3333
 DAMP, -18.4000, 123.1000
 CHER, -18.9159, 125.5264
 ISAD, -16.9000, 125.7000
 LIVE, -17.9500, 124.1667
 MOUN, -16.7372, 125.9086
 MOUN, -16.8214, 124.9151
 OBAG, -16.7000, 123.9833
 POIN, -17.1000, 123.7000
 ROLL, -18.7000, 121.7500
 THAN, -18.1792, 122.3583
 CYGN, -16.4513, 123.0087
 MILL, -18.8333, 124.9500
 NITA, -19.0861, 121.6764
 ARDJ, -18.7667, 123.6833
 KIMB, -16.6950, 123.8625
 BEVE, -16.5833, 125.4833
 CHAR, -16.7164, 125.4600
