Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,85298,1996,01,01,,,
IDCJAC0011,85298,1996,01,02,,,
IDCJAC0011,85298,1996,01,03,,,
IDCJAC0011,85298,1996,01,04,,,
IDCJAC0011,85298,1996,01,05,,,
IDCJAC0011,85298,1996,01,06,,,
IDCJAC0011,85298,1996,01,07,,,
IDCJAC0011,85298,1996,01,08,,,
IDCJAC0011,85298,1996,01,09,,,
IDCJAC0011,85298,1996,01,10,,,
IDCJAC0011,85298,1996,01,11,,,
IDCJAC0011,85298,1996,01,12,,,
IDCJAC0011,85298,1996,01,13,,,
IDCJAC0011,85298,1996,01,14,,,
IDCJAC0011,85298,1996,01,15,,,
IDCJAC0011,85298,1996,01,16,,,
IDCJAC0011,85298,1996,01,17,,,
IDCJAC0011,85298,1996,01,18,,,
IDCJAC0011,85298,1996,01,19,,,
IDCJAC0011,85298,1996,01,20,,,
IDCJAC0011,85298,1996,01,21,,,
IDCJAC0011,85298,1996,01,22,,,
IDCJAC0011,85298,1996,01,23,,,
IDCJAC0011,85298,1996,01,24,,,
IDCJAC0011,85298,1996,01,25,,,
IDCJAC0011,85298,1996,01,26,,,
IDCJAC0011,85298,1996,01,27,,,
IDCJAC0011,85298,1996,01,28,,,
IDCJAC0011,85298,1996,01,29,,,
IDCJAC0011,85298,1996,01,30,,,
IDCJAC0011,85298,1996,01,31,,,
IDCJAC0011,85298,1996,02,01,,,
IDCJAC0011,85298,1996,02,02,,,
IDCJAC0011,85298,1996,02,03,,,
IDCJAC0011,85298,1996,02,04,,,
IDCJAC0011,85298,1996,02,05,,,
IDCJAC0011,85298,1996,02,06,,,
IDCJAC0011,85298,1996,02,07,,,
IDCJAC0011,85298,1996,02,08,,,
IDCJAC0011,85298,1996,02,09,,,
IDCJAC0011,85298,1996,02,10,,,
IDCJAC0011,85298,1996,02,11,,,
IDCJAC0011,85298,1996,02,12,,,
IDCJAC0011,85298,1996,02,13,,,
IDCJAC0011,85298,1996,02,14,,,
IDCJAC0011,85298,1996,02,15,,,
IDCJAC0011,85298,1996,02,16,,,
IDCJAC0011,85298,1996,02,17,,,
IDCJAC0011,85298,1996,02,18,,,
IDCJAC0011,85298,1996,02,19,,,
IDCJAC0011,85298,1996,02,20,,,
IDCJAC0011,85298,1996,02,21,,,
IDCJAC0011,85298,1996,02,22,,,
IDCJAC0011,85298,1996,02,23,,,
IDCJAC0011,85298,1996,02,24,,,
IDCJAC0011,85298,1996,02,25,,,
IDCJAC0011,85298,1996,02,26,,,
IDCJAC0011,85298,1996,02,27,,,
IDCJAC0011,85298,1996,02,28,,,
IDCJAC0011,85298,1996,02,29,,,
IDCJAC0011,85298,1996,03,01,,,
IDCJAC0011,85298,1996,03,02,,,
IDCJAC0011,85298,1996,03,03,,,
IDCJAC0011,85298,1996,03,04,,,
IDCJAC0011,85298,1996,03,05,,,
IDCJAC0011,85298,1996,03,06,,,
IDCJAC0011,85298,1996,03,07,,,
IDCJAC0011,85298,1996,03,08,,,
IDCJAC0011,85298,1996,03,09,,,
IDCJAC0011,85298,1996,03,10,,,
IDCJAC0011,85298,1996,03,11,,,
IDCJAC0011,85298,1996,03,12,,,
IDCJAC0011,85298,1996,03,13,,,
IDCJAC0011,85298,1996,03,14,,,
IDCJAC0011,85298,1996,03,15,,,
IDCJAC0011,85298,1996,03,16,,,
IDCJAC0011,85298,1996,03,17,,,
IDCJAC0011,85298,1996,03,18,,,
IDCJAC0011,85298,1996,03,19,,,
IDCJAC0011,85298,1996,03,20,,,
IDCJAC0011,85298,1996,03,21,,,
IDCJAC0011,85298,1996,03,22,,,
IDCJAC0011,85298,1996,03,23,,,
IDCJAC0011,85298,1996,03,24,,,
IDCJAC0011,85298,1996,03,25,,,
IDCJAC0011,85298,1996,03,26,,,
IDCJAC0011,85298,1996,03,27,,,
IDCJAC0011,85298,1996,03,28,,,
IDCJAC0011,85298,1996,03,29,,,
IDCJAC0011,85298,1996,03,30,,,
IDCJAC0011,85298,1996,03,31,,,
IDCJAC0011,85298,1996,04,01,,,
IDCJAC0011,85298,1996,04,02,,,
IDCJAC0011,85298,1996,04,03,,,
IDCJAC0011,85298,1996,04,04,,,
IDCJAC0011,85298,1996,04,05,,,
IDCJAC0011,85298,1996,04,06,,,
IDCJAC0011,85298,1996,04,07,,,
IDCJAC0011,85298,1996,04,08,,,
IDCJAC0011,85298,1996,04,09,,,
IDCJAC0011,85298,1996,04,10,,,
IDCJAC0011,85298,1996,04,11,,,
IDCJAC0011,85298,1996,04,12,,,
IDCJAC0011,85298,1996,04,13,,,
IDCJAC0011,85298,1996,04,14,,,
IDCJAC0011,85298,1996,04,15,,,
IDCJAC0011,85298,1996,04,16,,,
IDCJAC0011,85298,1996,04,17,,,
IDCJAC0011,85298,1996,04,18,,,
IDCJAC0011,85298,1996,04,19,,,
IDCJAC0011,85298,1996,04,20,,,
IDCJAC0011,85298,1996,04,21,,,
IDCJAC0011,85298,1996,04,22,,,
IDCJAC0011,85298,1996,04,23,,,
IDCJAC0011,85298,1996,04,24,,,
IDCJAC0011,85298,1996,04,25,,,
IDCJAC0011,85298,1996,04,26,,,
IDCJAC0011,85298,1996,04,27,,,
IDCJAC0011,85298,1996,04,28,,,
IDCJAC0011,85298,1996,04,29,,,
IDCJAC0011,85298,1996,04,30,,,
IDCJAC0011,85298,1996,05,01,,,
IDCJAC0011,85298,1996,05,02,,,
IDCJAC0011,85298,1996,05,03,,,
IDCJAC0011,85298,1996,05,04,,,
IDCJAC0011,85298,1996,05,05,,,
IDCJAC0011,85298,1996,05,06,,,
IDCJAC0011,85298,1996,05,07,,,
IDCJAC0011,85298,1996,05,08,,,
IDCJAC0011,85298,1996,05,09,,,
IDCJAC0011,85298,1996,05,10,,,
IDCJAC0011,85298,1996,05,11,,,
IDCJAC0011,85298,1996,05,12,,,
IDCJAC0011,85298,1996,05,13,,,
IDCJAC0011,85298,1996,05,14,,,
IDCJAC0011,85298,1996,05,15,,,
IDCJAC0011,85298,1996,05,16,,,
IDCJAC0011,85298,1996,05,17,,,
IDCJAC0011,85298,1996,05,18,,,
IDCJAC0011,85298,1996,05,19,,,
IDCJAC0011,85298,1996,05,20,,,
IDCJAC0011,85298,1996,05,21,,,
IDCJAC0011,85298,1996,05,22,,,
IDCJAC0011,85298,1996,05,23,,,
IDCJAC0011,85298,1996,05,24,,,
IDCJAC0011,85298,1996,05,25,,,
IDCJAC0011,85298,1996,05,26,,,
IDCJAC0011,85298,1996,05,27,,,
IDCJAC0011,85298,1996,05,28,,,
IDCJAC0011,85298,1996,05,29,,,
IDCJAC0011,85298,1996,05,30,,,
IDCJAC0011,85298,1996,05,31,,,
IDCJAC0011,85298,1996,06,01,,,
IDCJAC0011,85298,1996,06,02,,,
IDCJAC0011,85298,1996,06,03,,,
IDCJAC0011,85298,1996,06,04,,,
IDCJAC0011,85298,1996,06,05,,,
IDCJAC0011,85298,1996,06,06,,,
IDCJAC0011,85298,1996,06,07,,,
IDCJAC0011,85298,1996,06,08,,,
IDCJAC0011,85298,1996,06,09,,,
IDCJAC0011,85298,1996,06,10,,,
IDCJAC0011,85298,1996,06,11,,,
IDCJAC0011,85298,1996,06,12,,,
IDCJAC0011,85298,1996,06,13,,,
IDCJAC0011,85298,1996,06,14,,,
IDCJAC0011,85298,1996,06,15,,,
IDCJAC0011,85298,1996,06,16,,,
IDCJAC0011,85298,1996,06,17,,,
IDCJAC0011,85298,1996,06,18,5.8,1,Y
IDCJAC0011,85298,1996,06,19,6.1,1,Y
IDCJAC0011,85298,1996,06,20,4.9,1,Y
IDCJAC0011,85298,1996,06,21,5.0,1,Y
IDCJAC0011,85298,1996,06,22,7.0,1,Y
IDCJAC0011,85298,1996,06,23,4.1,1,Y
IDCJAC0011,85298,1996,06,24,8.0,1,Y
IDCJAC0011,85298,1996,06,25,3.3,1,Y
IDCJAC0011,85298,1996,06,26,6.0,1,Y
IDCJAC0011,85298,1996,06,27,4.8,1,Y
IDCJAC0011,85298,1996,06,28,2.8,1,Y
IDCJAC0011,85298,1996,06,29,3.2,1,Y
IDCJAC0011,85298,1996,06,30,3.0,1,Y
IDCJAC0011,85298,1996,07,01,1.0,1,Y
IDCJAC0011,85298,1996,07,02,2.8,1,Y
IDCJAC0011,85298,1996,07,03,2.5,1,Y
IDCJAC0011,85298,1996,07,04,-1.4,1,Y
IDCJAC0011,85298,1996,07,05,1.2,1,Y
IDCJAC0011,85298,1996,07,06,4.2,1,Y
IDCJAC0011,85298,1996,07,07,5.5,1,Y
IDCJAC0011,85298,1996,07,08,3.0,1,Y
IDCJAC0011,85298,1996,07,09,0.1,1,Y
IDCJAC0011,85298,1996,07,10,-0.7,1,Y
IDCJAC0011,85298,1996,07,11,0.7,1,Y
IDCJAC0011,85298,1996,07,12,3.3,1,Y
IDCJAC0011,85298,1996,07,13,-0.2,1,Y
IDCJAC0011,85298,1996,07,14,2.7,1,Y
IDCJAC0011,85298,1996,07,15,5.7,1,Y
IDCJAC0011,85298,1996,07,16,2.0,1,Y
IDCJAC0011,85298,1996,07,17,0.5,1,Y
IDCJAC0011,85298,1996,07,18,0.5,1,Y
IDCJAC0011,85298,1996,07,19,4.4,1,Y
IDCJAC0011,85298,1996,07,20,6.7,1,Y
IDCJAC0011,85298,1996,07,21,5.8,1,Y
IDCJAC0011,85298,1996,07,22,5.1,1,Y
IDCJAC0011,85298,1996,07,23,6.0,1,Y
IDCJAC0011,85298,1996,07,24,4.7,1,Y
IDCJAC0011,85298,1996,07,25,3.0,1,Y
IDCJAC0011,85298,1996,07,26,3.4,1,Y
IDCJAC0011,85298,1996,07,27,1.3,1,Y
IDCJAC0011,85298,1996,07,28,4.5,1,Y
IDCJAC0011,85298,1996,07,29,8.9,1,Y
IDCJAC0011,85298,1996,07,30,8.9,1,Y
IDCJAC0011,85298,1996,07,31,7.3,1,Y
IDCJAC0011,85298,1996,08,01,7.8,1,Y
IDCJAC0011,85298,1996,08,02,7.9,1,Y
IDCJAC0011,85298,1996,08,03,7.8,1,Y
IDCJAC0011,85298,1996,08,04,8.7,1,Y
IDCJAC0011,85298,1996,08,05,7.1,1,Y
IDCJAC0011,85298,1996,08,06,0.7,1,Y
IDCJAC0011,85298,1996,08,07,4.2,1,Y
IDCJAC0011,85298,1996,08,08,2.3,1,Y
IDCJAC0011,85298,1996,08,09,4.6,1,Y
IDCJAC0011,85298,1996,08,10,5.7,1,Y
IDCJAC0011,85298,1996,08,11,3.4,1,Y
IDCJAC0011,85298,1996,08,12,6.1,1,Y
IDCJAC0011,85298,1996,08,13,6.1,1,Y
IDCJAC0011,85298,1996,08,14,9.6,1,Y
IDCJAC0011,85298,1996,08,15,3.0,1,Y
IDCJAC0011,85298,1996,08,16,1.4,1,Y
IDCJAC0011,85298,1996,08,17,0.5,1,Y
IDCJAC0011,85298,1996,08,18,6.1,1,Y
IDCJAC0011,85298,1996,08,19,2.4,1,Y
IDCJAC0011,85298,1996,08,20,4.1,1,Y
IDCJAC0011,85298,1996,08,21,4.6,1,Y
IDCJAC0011,85298,1996,08,22,5.5,1,Y
